Kiểm định độ bền,Mô tả mẫu,Hệ số LSCI,SE LSCI,P-value LSCI,Hệ số ln(GDP),SE GDP,Số quan sát (N),Số nước,Pseudo LL
1. Mẫu cơ sở (2010–2024),Toàn bộ 9 nước ASEAN ven biển,1.039***,(0.277),0.006,0.554*,(0.287),135,9,-68300421763.7
2. Xu hướng thời gian từng nước,Kiểm soát xu hướng tuyến tính riêng của từng nước,0.328**,(0.109),0.017,0.913**,(0.385),135,9,-32140492853.2
3. Loại Singapore (Không ngoại lai),Loại trừ cảng trung chuyển lớn nhất,0.472***,(0.079),< 0.001,1.132***,(0.178),120,8,-38000897371.5
4. Tiền COVID (2010–2019),Tránh cú sốc đại dịch toàn cầu,0.953***,(0.258),0.006,1.230**,(0.447),90,9,-24613016372.0
5. Loại năm 2020–2021,Loại trừ đứt gãy chuỗi cung ứng,1.083***,(0.283),0.005,0.504,(0.294),117,9,-61429128500.9
6. Phân nhóm ASEAN-6,Các nền kinh tế phát triển hơn,0.309,(0.303),0.355,0.085,(0.253),90,6,-27084926410.7
7. Phân nhóm CLMV có biển,"Campuchia, Myanmar, Việt Nam (3 nước)",0.131**,(0.027),0.040,0.688**,(0.145),45,3,-1482142399.4
8. Chế biến – Chế tạo (HS 28–96),Kiểm định H4 (Đã bóc tách nhiên liệu khoáng sản),1.118***,(0.295),0.005,0.595*,(0.306),135,9,-70298032673.7
9. Nhiên liệu & Khoáng sản (HS 25–27),"Kiểm định H4 (Hàng rời/dầu mỏ, kiểm chứng Brunei)",-0.163,(0.455),0.729,-0.100,(0.285),135,9,-16093301499.7
10. Nông – Thủy sản (HS 01–24),Kiểm định H4 (Hàng nông nghiệp truyền thống),0.124,(0.280),0.669,0.548*,(0.252),135,9,-10897482548.6
11. Chênh lệch Chế tạo vs Nông sản (Pooled),Kiểm định trực tiếp khác biệt hệ số: Mfg - Agri (HS 28–96 vs HS 01–24),0.614*,(0.299),0.074,0.557,(0.268),405,9,-1365388578891.3
12. Placebo Test (LSCI Lead 1),LSCI năm t+1 (Kiểm tra kỳ vọng & tự tương quan),1.000***,(0.212),0.002,0.690**,(0.240),126,9,-54728501324.1
